CRM Client Id,Name,Company Type,Street,Street2,City,State,Zip,Country,Phone,Mobile,Fax,Email,Website,Salesperson,Salesperson ID,Lead Generator Name,Lead Generator ID,Lead Source,Source Notes,Chatter -- Created Date,Chatter -- Last Updated Date,Chatter -- Last Updated by ID,Missed Items,Import Status
89595897-0B6D-4E68-B3EE-F5513B4C35E8,[522] The Village at Science Drive,Property Itself,"2913 Einstein Way,",,Orlando,FL,32826,United States,(407) 384-7080,,,,https://www.americancampus.com/student-apartments/fl/orlando/the-village-at-science-drive,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
F482213C-623E-4A1A-ADB7-BBDDA656B0E5,[538] U Club on Woodward,Property Itself,"700 N. Woodward Ave., ",,Tallahassee,FL,32304,United States,(850) 765-5506,,,,https://www.americancampus.com/student-apartments/fl/tallahassee/u-club-on-woodward,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-08-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
087ED76D-05DA-4138-9EE5-9077220F7CAB,[574] University Edge,Property Itself,1150 Rhodes Rd. ,,Kent,OH,44240,United States,(330) 673-2992,,,,https://www.americancampus.com/student-apartments/oh/kent/university-edge,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
3068C4D4-7674-4C9E-8472-105FD0B6D849,[580] Peninsular Place,Property Itself,1000 N. Huron River Drive,,Ypsilanti,MI,48197,United States,(734) 485-9999,,,,https://www.americancampus.com/student-apartments/mi/ypsilanti/peninsular-place,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
F515EE9B-7AF8-4C7A-BE22-0C9562F1E74C,[581] Hub Ann Arbor,Property Itself,603 E Huron Street,,Ann Arbor,MI,48104,United States,(734) 761-4411,,,,https://www.americancampus.com/student-apartments/mi/ann-arbor/hub-ann-arbor/,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
019AF53A-8B09-49D5-BE81-D7F2F7D23357,[618] 160 Ross,Property Itself,"160 N. Ross St.,",,Auburn,AL,36830,United States,(334) 332-9736,,,,https://www.americancampus.com/student-apartments/al/auburn/160-ross,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
16977BB1-0161-4628-A243-75EE2B1CE569,[622] U Club Townhomes at Oxford,Property Itself,"100 U Club Cove,",,Oxford,MS,38655,United States,(622) 233-5235,,,,https://www.americancampus.com/student-apartments/ms/oxford/u-club-townhomes-at-oxford#faq,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,06-01-2023,BE86AE57-6A2A-4142-89C9-135A36C80086,,updated
E3F1A551-8D4E-4712-B7EC-69B4B939E41D,[669] The Arlie,Property Itself,"815 West Abram Street, ",,Arlington,TX,76013,United States,(817) 795-2300,,,,https://www.americancampus.com/student-apartments/tx/arlington/the-arlie,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
3FF87DBD-2396-442A-B502-141FC12DFCD4,[678] Sanctuary Lofts,Property Itself,350 North Street,,San Marcos,TX,78666,United States,(512) 392-9066,,,,https://www.americancampus.com/student-apartments/tx/san-marcos/sanctuary-lofts,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
6790CFFB-5618-4057-A2E4-A5F36E6CB6B8,[684] The Outpost,Property Itself,"6802 UTSA Boulevard, ",,San Antonio,TX,78249,United States,(210) 694-4777,,,,https://www.americancampus.com/student-apartments/tx/san-antonio/campus-edge-on-utsa-boulevard,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
C0ECBEC5-A149-49C0-968F-84C9EC5DDAB2,[686] Campus Edge on UTA Blvd,Property Itself,"1001 UTA Boulevard,",,Arlington,TX,76013,United States,(817) 987-1661,,,,https://www.americancampus.com/student-apartments/tx/arlington/campus-edge-on-uta-boulevard,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
A73E1DB9-8CE6-46B4-8D2D-2EA063358003,[689] Uptown,Property Itself,"2601 West Oak Street, ",,Denton,TX,76201,United States,(940) 384-7600,,,,https://www.americancampus.com/student-apartments/tx/denton/uptown,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
88325815-129F-4726-8402-89D7BD2B78FF,[690] City Parc @ Fry St,Property Itself,"1310 Scripture Street,",,Denton,TX,76201,United States,(940) 384-7272,,,,https://www.americancampus.com/student-apartments/tx/denton/city-parc-at-fry-street,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
26236D84-853B-40EA-887F-687F30999EEB,[691] 25 Twenty,Property Itself,2520 Marsha Sharp Fwy,,Lubbock,TX,79415,United States,(806) 749-2520,,,,https://www.americancampus.com/student-apartments/tx/lubbock/25twenty,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
CC9AE47E-6C31-4FE4-9821-6C0976337D41,[693] University Pointe,Property Itself,2323 Glenna Goodacre Blvd.,,Lubbock,TX,79415,United States,(806) 749-2323,,,,https://www.americancampus.com/student-apartments/tx/lubbock/university-pointe-lubbock,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
004D9F09-F3D0-426F-93FC-47A39D2BA22D,[694] University Trails,Property Itself,2210 Main Street,,Lubbock,TX,79401,United States,(806) 749-2200,,,,https://www.americancampus.com/student-apartments/tx/lubbock/university-trails,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
B389DA90-58B4-487F-A10A-C2C63FB21771,[773] Honors Academic Village,Property Itself,2125 Campus Road,,Toledo,OH,43606,United States,(419) 530-5925,,,,https://www.americancampus.com/student-apartments/oh/toledo/honors-academic-village,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
6B81FB5F-78E5-4794-B244-2D68975CB4E8,[922] North District,Property Itself,733 West Linden Street,,Riverside,CA,92521,United States,1 (951) 542-3030,,,,https://www.americancampus.com/student-apartments/ca/riverside/north-district,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
D2278EFA-3FE7-48C9-9EF3-0F9B60189B7B,1 Call Service LLC,Management Company,Letter returned 2122 N Josey,,Carrollton,TX,75006,United States,(972) 418-2000,,,,http://www.1callservice.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,,,4/22/2015,08-04-2025,455A85CF-EFA2-4B88-880C-81F78B4E2132,,
0DB658A8-E89D-40A4-B960-A58235654043,1 Hotel South Beach,Property Itself,2341 Collins Avenue,,Miami Beach,FL,33139,United States,305-604-1000,,,,https://1hotels.com/,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777, ,,Old Website Form,"Referred to by Deployed Technologies, a tech. consultant for this hotel.",3/28/2016,7/22/2022,6CE13390-A6D7-43CB-BE5E-E4A2C4F3F748,,
AE14A768-053F-411D-A522-D8F5EE1BC010,1000 First Avenue LLC,Property Itself,1000 1st Avenue,,Seattle,WA,98104,United States,(206) 957-1000,,,contracts@aimhosp.com,http://www.hotel1000seattle.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,,05-04-2016,8/21/2025,38897A15-8DF6-4D6C-9FFF-C492BD35B040,,
3081DF50-47EE-47D5-8891-F53B2F91F7D1,1006 North,Property Itself,1006 1006 N El Centro Avenue ,,Los Angeles,CA,90038,United States,(213) 279-5355,,,,,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Rowdy Smith,AC3D3832-E690-44F2-88F2-DB12CF9F0F30,Referral - MDU Consultant,Estate Comm,2/20/2025,10/21/2025,AC3D3832-E690-44F2-88F2-DB12CF9F0F30,,
4B1191AA-80E8-400C-BD69-1195AF15DE89,1025 Gwinnett St,Property Itself,1025 West Gwinnett Street,,Savannah,GA,31415,United States,0000000000,,,,,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral - MDU Consultant,InfiniSys,03-03-2023,03-03-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
EFCE963D-9AC8-4BAD-BFE7-95A31F822D23,1037 4th Ave ,Property Itself,1037 4th Ave ,,San Diego ,CA,92101,United States,(901) 598-1219,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Referral - Customer Portfolio Expansion,James Camp ,1/21/2022,9/19/2022,33F62C45-0FFF-4952-80C9-61FE0DBF4BEA,,
1646D2BB-23C9-4489-99C7-1F3AD6BD059B,107 Hewitt Mixed-Use Project,Property Itself,107 S. Hewitt St,,Los Angeles,CA,90012,United States,(310) 293-1393,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Shayne Rose,3699428D-3A9C-419F-AA5C-7E0525476F3D,Referral,Vantage,12-10-2020,4/15/2022,CCB8D2BB-91AE-429C-9A48-853703AC0ACC,,
3E4E1985-CDAC-430B-8338-1BFE8A3D61FE,114 S Gramercy,Property Itself,114 S Gramercy Place ,,Los Angeles,CA,90004,United States,(323) 798-5350,,,,,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Rowdy Smith,AC3D3832-E690-44F2-88F2-DB12CF9F0F30,Referral - MDU Consultant,Estate Comm,2/20/2025,4/16/2025,AC3D3832-E690-44F2-88F2-DB12CF9F0F30,,
29BD256C-2361-40BD-8CAE-08F9D83FBEFD,119 Columbia Heights ,Property Itself,119 Columbia Heights ,,Brooklyn,NY,11201,United States,1 (949) 416-4272,,,,,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777, ,,Referral,Mike Foley,08-08-2017,11-07-2025,CCB8D2BB-91AE-429C-9A48-853703AC0ACC,,
55DAB067-30E8-4E93-8CCC-BE5D82731E81,121 Broadway Apartments,Property Itself,121 E. Broadway Rd,,Tempe,AZ,85282,United States,(602) 486-0948,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,,,01-06-2015,11-11-2022,BE86AE57-6A2A-4142-89C9-135A36C80086,,
8E9E37EA-8E42-4457-BF05-075AAE46F8A8,1320 W Jefferson,Property Itself,1320 W Jefferson,,Los Angeles,CA,90007,United States,785.340.3744,,,,,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777, ,,Free Wi-Fi Assessment Webpage,,1/28/2020,04-06-2022,CCB8D2BB-91AE-429C-9A48-853703AC0ACC,,
2DBB3DEE-89D4-4EA2-B6B0-92589574A57F,14 Hancock Street,Property Itself,14 Hancock Street,,Boston,MA,02114,United States,1111111111,,,,,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Shelly Chandler,CCB8D2BB-91AE-429C-9A48-853703AC0ACC,Old Website Form,Website form,12/30/2024,12/30/2024,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
F0962F1A-A3F5-4C11-8748-051ACB040071,"140 Toll House Hotel, LLC d/b/a Toll House Hotel",Property Itself,140 S. Santa Cruz Avenue,,Los Gatos,CA,95030,United States,(408) 395-7070,,,josh.bertsch@metwestterra.com,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,,,4/24/2025,BE86AE57-6A2A-4142-89C9-135A36C80086,Missing,
0BC21A67-C771-41F0-B857-77A915F41B6E,1500 Arlington Apartments,Property Itself,1500 Arlington Blvd,,Arlington,VA,22209,United States,(571) 901-1719,,,,https://1500arlington.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,,,2/17/2022,06-04-2025,E0BC07BD-4588-4661-849D-6FA294A6EC88,,
3C6B5B63-D6A9-4BE0-B03E-610C56D4B1C0,"1515 California Street Associates, LLC",Management Company,105 Stonepine Rd,,Hillsborough ,CA,94010,United States,,,,,, ,, ,,,,11-03-2016,07-03-2019,7352A30D-B9FD-4F36-8387-97DEDB400316,,
FC64577D-914A-4B2C-A6AB-19BC04217493,"1651 Tiburon Hotel, LLC d/b/a Lodge at Tiburon",Property Itself,1651 Tiburon Boulevard,,Tiburon,CA,94920,United States,(415) 435-3133,,(415) 435-2451,josh.bertsch@metwestterra.com,http://www.larkspurhotels.com/collection/tiburon/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,,,03-03-2025,6481A1B6-3C7C-4489-841F-FA6E73A11321,,
D1567992-36F9-48CB-912F-83A91C8B804A,1710 W Highland Ave.,Property Itself,1710 W Highland Ave,,Selma,AL,36701,United States,(713) 416-5539,,,,,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Tradeshow/Conference,Came from the show,10-02-2023,10-02-2023,26E9224E-6C77-4BE7-8ABB-A4A578110777,,
982CDA02-55DA-44E4-B2E3-B4CDC75810CA,180 Drexel,Property Itself,18011 Drexel Street,,Omaha,NE,68135,United States,0000000000,,,,,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Tradeshow/Conference,NMHC,12/21/2023,12/21/2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
955323DE-6C54-4DB4-800F-3E528B60D0A7,185 Rosslyn,Property Itself,185 Rosslyn St.,,Melbourne,Victoria,3000,Australia,6.10408E+11,,,,,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Referral - Liveport Australia,Came from Jeff,4/27/2022,4/27/2022,26E9224E-6C77-4BE7-8ABB-A4A578110777,,
ED0E739A-FA92-47F8-B129-8CBFE3748746,1901 JAG,Property Itself,1901 N. Moore,,Arlington,VA,,United States,0000000000,,,,,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral - MDU Consultant,Realpage,5/25/2024,5/25/2024,C9D09C63-60DD-4E43-95D2-76CB846D9484,,
